rva	symbol	category	disposition	public_header	probe	address_id
0002F3B0	IVP_Collision_Delegator_Root_Mindist::object_is_removed_from_collision_detection	collision-mindist	typed-wrapper	include/BML/IVP/Collision.h	Address::CollisionDelegatorRootMindistObjectRemoved	CollisionDelegatorRootMindistObjectRemoved
0002F3E0	IVP_Collision_Delegator_Root_Mindist::environment_is_going_to_be_deleted_event	collision-mindist	typed-wrapper	include/BML/IVP/Collision.h	Address::CollisionDelegatorRootMindistEnvironmentDeleted	CollisionDelegatorRootMindistEnvironmentDeleted
0002F3F0	IVP_Collision_Delegator_Root_Mindist::collision_is_going_to_be_deleted_event	collision-mindist	typed-wrapper	include/BML/IVP/Collision.h	Address::CollisionDelegatorRootMindistCollisionDeleted	CollisionDelegatorRootMindistCollisionDeleted
0002F430	IVP_Collision_Delegator_Root_Mindist::delegate_collisions_for_object	collision-mindist	typed-wrapper	include/BML/IVP/Collision.h	Address::CollisionDelegatorRootMindistDelegateCollisions	CollisionDelegatorRootMindistDelegateCollisions
0002F5A0	IVP_Collision_Delegator_Root_Mindist::IVP_Collision_Delegator_Root_Mindist	collision-mindist	typed-wrapper	include/BML/IVP/Collision.h	Address::CollisionDelegatorRootMindistConstruct	CollisionDelegatorRootMindistConstruct
00009A40	IVP_Real_Object::unlink_contact_points	object-core	typed-wrapper	include/BML/IVP/Object.h	unlink_contact_points(IVP_BOOL	RealObjectUnlinkContactPoints
00009610	IVP_Real_Object::update_exact_mindist_events_of_object	object-core	typed-wrapper	include/BML/IVP/Object.h	update_exact_mindist_events_of_object	RealObjectUpdateExactMindistEvents
00009350	IVP_Real_Object::enable_collision_detection	object-core	typed-wrapper	include/BML/IVP/Object.h	enable_collision_detection	RealObjectEnableCollision
00009B00	IVP_Object::IVP_Object(IVP_Cluster *, const IVP_Template_Object *)	object-hierarchy	typed-wrapper	include/BML/IVP/Object.h	IVP_Object(IVP_Cluster *father	ObjectConstruct
00009B60	IVP_Object::IVP_Object(IVP_Environment *)	object-hierarchy	typed-wrapper	include/BML/IVP/Object.h	explicit IVP_Object(IVP_Environment *targetEnvironment)	ObjectConstructRoot
00009BA0	IVP_Object::~IVP_Object	object-hierarchy	typed-wrapper	include/BML/IVP/Object.h	virtual ~IVP_Object()	ObjectDestruct
00009570	IVP_Real_Object::add_listener_collision	object-core	typed-wrapper	include/BML/IVP/Object.h	add_listener_collision	RealObjectAddCollisionListener
00009590	IVP_Real_Object::remove_listener_collision	object-core	typed-wrapper	include/BML/IVP/Object.h	remove_listener_collision	RealObjectRemoveCollisionListener
00009990	IVP_Real_Object deleting helper	object-core	typed-wrapper	include/BML/IVP/Object.h	void destroy()	RealObjectDestroy
00009C40	IVP_Real_Object::get_m_world_f_object_AT	object-core	typed-wrapper	include/BML/IVP/Object.h	get_m_world_f_object_AT	RealObjectGetCurrentMatrix
0000A2D0	IVP_Real_Object::convert_to_phantom	object-core	typed-wrapper	include/BML/IVP/Object.h	convert_to_phantom	RealObjectConvertToPhantom
000108A0	IVP_Controller_Phantom::~IVP_Controller_Phantom	buoyancy-phantom	typed-wrapper	include/BML/IVP/Buoyancy.h	~IVP_Controller_Phantom	ControllerPhantomDestruct
00010D00	IVP_Controller_Phantom::IVP_Controller_Phantom	buoyancy-phantom	typed-wrapper	include/BML/IVP/Buoyancy.h	IVP_Controller_Phantom(	ControllerPhantomConstruct
000109E0	IVP_Controller_Phantom::mindist_entered_volume	buoyancy-phantom	typed-wrapper	include/BML/IVP/Buoyancy.h	mindist_entered_volume	ControllerPhantomMindistEnteredVolume
00010B70	IVP_Controller_Phantom::mindist_left_volume	buoyancy-phantom	typed-wrapper	include/BML/IVP/Buoyancy.h	mindist_left_volume	ControllerPhantomMindistLeftVolume
0000A3E0	IVP_Real_Object::async_push_object_ws	object-core	typed-wrapper	include/BML/IVP/Object.h	async_push_object_ws	RealObjectPushWorld
0000A460	IVP_Real_Object::ensure_in_simulation	object-core	typed-wrapper	include/BML/IVP/Object.h	ensure_in_simulation	RealObjectEnsureSimulation
0000B0F0	IVP_Controller::~IVP_Controller reached from an SEH cleanup tail	controller-constraint	typed-wrapper	include/BML/IVP/Controller.h	virtual ~IVP_Controller()	ControllerDestruct
0000B600	IVP_U_Vector_Base::increment_mem	math-container	typed-wrapper	include/BML/IVP/Types.h	increment_mem	VectorIncrementMemory
0000B670	??0IVP_Hash@@QAE@HHPAX@Z	math-container	typed-wrapper	include/BML/IVP/StringHash.h	IVP_Hash(	HashConstruct
0000B6A0	??1IVP_Hash@@QAE@XZ	math-container	typed-wrapper	include/BML/IVP/StringHash.h	~IVP_Hash()	HashDestruct
0000B6F0	?find@IVP_Hash@@QBEPAXPBD@Z	math-container	typed-wrapper	include/BML/IVP/StringHash.h	void *find(	HashFind
0000B770	?add@IVP_Hash@@QAEXPBDPAX@Z	math-container	typed-wrapper	include/BML/IVP/StringHash.h	void add(	HashAdd
0000B7F0	IVP_U_String_Hash::IVP_U_String_Hash	math-container	typed-wrapper	include/BML/IVP/StringHash.h	IVP_U_String_Hash(int	StringHashConstruct
0000B820	IVP_U_String_Hash::find	math-container	typed-wrapper	include/BML/IVP/StringHash.h	void *find(	StringHashFind
0000B8C0	IVP_U_String_Hash::add	math-container	typed-wrapper	include/BML/IVP/StringHash.h	void add(	StringHashAdd
0000BD00	IVP_SurfaceManager_Polygon non-deleting destructor used by adapter deleting thunk	adapter-internal	adapter-internal			""
0000BDA0	IVP_Material_Manager::IVP_Material_Manager	material	typed-wrapper	include/BML/IVP/Material.h	IVP_Material_Manager(IVP_BOOL	MaterialManagerConstruct
0000BF00	IVP_Material_Simple::IVP_Material_Simple	material	typed-wrapper	include/BML/IVP/Material.h	IVP_Material_Simple(	MaterialSimpleConstruct
0000C510	IVP_Core::calc_at_matrix	object-core	typed-wrapper	include/BML/IVP/Core.h	calc_at_matrix	CoreCalculateMatrixAt
0000C830	IVP_Core::async_push_core	object-core	typed-wrapper	include/BML/IVP/Core.h	async_push_core(	CoreAsyncPush
0000E030	IVP_U_Float_Point::fast_normize	math-container	typed-wrapper	include/BML/IVP/Types.h	IVP_RETURN_TYPE fast_normize()	FloatPointFastNormalize
0000E120	IVP_U_Point::normize	math-container	typed-wrapper	include/BML/IVP/Types.h	IVP_RETURN_TYPE normize()	PointNormalize
